Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
  120    -1.17    0.175      202   1.2e+05  0.00282     0.01       402 sensor_telescope3_phys StepLimiter
  121    -1.17    0.175      202   1.2e+05  0.00268     0.01       402 sensor_telescope3_phys StepLimiter
  122    -1.17    0.175      202   1.2e+05  0.00307     0.01       402 sensor_telescope3_phys StepLimiter
  123    -1.17    0.175      202   1.2e+05  0.00342     0.01       402 sensor_telescope3_phys StepLimiter
  124    -1.17    0.175      202   1.2e+05  0.00185     0.01       402 sensor_telescope3_phys StepLimiter
  125    -1.17    0.175      202   1.2e+05  0.00197     0.01       402 sensor_telescope3_phys StepLimiter
  126    -1.17    0.175      202   1.2e+05  0.00339     0.01       402 sensor_telescope3_phys StepLimiter
  127    -1.17    0.175      202   1.2e+05  0.00132     0.01       402 sensor_telescope3_phys StepLimiter
  128    -1.17    0.175      202   1.2e+05  0.00238     0.01       402 sensor_telescope3_phys StepLimiter
  129    -1.17    0.175      202   1.2e+05  0.00175     0.01       402 sensor_telescope3_phys StepLimiter
  130    -1.17    0.175      202   1.2e+05  0.00117     0.01       402 sensor_telescope3_phys StepLimiter
  131    -1.17    0.175      202   1.2e+05   0.0036     0.01       402 sensor_telescope3_phys StepLimiter
  132    -1.17    0.175      202   1.2e+05  0.00286     0.01       402 sensor_telescope3_phys StepLimiter
  133    -1.17    0.175      202   1.2e+05  0.00287     0.01       402 sensor_telescope3_phys StepLimiter
  134    -1.17    0.175      202   1.2e+05  0.00768     0.01       402 sensor_telescope3_phys StepLimiter
  135    -1.17    0.175      202   1.2e+05   0.0032     0.01       402 sensor_telescope3_phys StepLimiter
  136    -1.17    0.175      202   1.2e+05  0.00282     0.01       402 sensor_telescope3_phys StepLimiter
  137    -1.17    0.175      202   1.2e+05  0.00144     0.01       402 sensor_telescope3_phys StepLimiter
  138    -1.17    0.175      202   1.2e+05  0.00173     0.01       402 sensor_telescope3_phys StepLimiter
  139    -1.17    0.175      202   1.2e+05  0.00275     0.01       402 sensor_telescope3_phys StepLimiter
  140    -1.17    0.175      202   1.2e+05  0.00239     0.01       402 sensor_telescope3_phys StepLimiter
  141    -1.17    0.175      202   1.2e+05 0.000802  0.00536       402 bumps_wrapper_telescope3_phys Transportation
  142    -1.17    0.175      202   1.2e+05 3.98e-06   0.0204       402 chip_telescope3_phys Transportation
  143    -1.17    0.175      203   1.2e+05    0.222    0.713       403 support_telescope3_phys_0 Transportation
  144    -1.17    0.175      205   1.2e+05    0.409     1.79       405       World Transportation
  145    -1.17    0.175      216   1.2e+05   0.0021       12       416       World hIoni
    :----- List of 2ndaries - #SpawnInStep=  1(Rest= 0,Along= 0,Post= 1), #SpawnTotal=  5 ---------------
    :     -1.17     0.175       216   0.00244                 e-
    :----------------------------------------------------------------- EndOf2ndaries Info ---------------
  146    -1.17    0.174      249   1.2e+05  0.00677     32.1       449 sensor_telescope4_phys Transportation
  147    -1.17    0.174      249   1.2e+05  0.00518     0.01       449 sensor_telescope4_phys StepLimiter
  148    -1.17    0.174      249   1.2e+05  0.00174     0.01       449 sensor_telescope4_phys StepLimiter
  149    -1.17    0.174      249   1.2e+05  0.00214     0.01       449 sensor_telescope4_phys StepLimiter
  150    -1.17    0.174      249   1.2e+05  0.00129     0.01       449 sensor_telescope4_phys StepLimiter
  151    -1.17    0.174      249   1.2e+05  0.00141     0.01       449 sensor_telescope4_phys StepLimiter
  152    -1.17    0.174      249   1.2e+05   0.0017     0.01       449 sensor_telescope4_phys StepLimiter
  153    -1.17    0.174      249   1.2e+05  0.00291     0.01       449 sensor_telescope4_phys StepLimiter
  154    -1.17    0.174      249   1.2e+05  0.00193     0.01       449 sensor_telescope4_phys StepLimiter
  155    -1.17    0.174      249   1.2e+05  0.00195     0.01       449 sensor_telescope4_phys StepLimiter
  156    -1.17    0.174      249   1.2e+05  0.00181     0.01       449 sensor_telescope4_phys StepLimiter
  157    -1.17    0.174      249   1.2e+05   0.0026     0.01       449 sensor_telescope4_phys StepLimiter
  158    -1.17    0.174      249   1.2e+05  0.00232     0.01       449 sensor_telescope4_phys StepLimiter
  159    -1.17    0.174      249   1.2e+05  0.00202     0.01       449 sensor_telescope4_phys StepLimiter
  160    -1.17    0.174      249   1.2e+05  0.00526     0.01       449 sensor_telescope4_phys StepLimiter
  161    -1.17    0.174      249   1.2e+05  0.00399     0.01       449 sensor_telescope4_phys StepLimiter
  162    -1.17    0.174      249   1.2e+05  0.00208     0.01       449 sensor_telescope4_phys StepLimiter
  163    -1.17    0.174      249   1.2e+05  0.00122     0.01       449 sensor_telescope4_phys StepLimiter
  164    -1.17    0.174      249   1.2e+05  0.00296     0.01       449 sensor_telescope4_phys StepLimiter
  165    -1.17    0.174      249   1.2e+05  0.00349     0.01       449 sensor_telescope4_phys StepLimiter
  166    -1.17    0.174      249   1.2e+05  0.00166     0.01       449 sensor_telescope4_phys StepLimiter
  167    -1.17    0.174      249   1.2e+05  0.00386     0.01       449 sensor_telescope4_phys StepLimiter
  168    -1.17    0.174      249   1.2e+05  0.00264     0.01       449 sensor_telescope4_phys StepLimiter
  169    -1.17    0.174      249   1.2e+05  0.00187     0.01       449 sensor_telescope4_phys StepLimiter
  170    -1.17    0.174      249   1.2e+05  0.00478     0.01       449 sensor_telescope4_phys StepLimiter
  171    -1.17    0.174      249   1.2e+05  0.00123     0.01       449 sensor_telescope4_phys StepLimiter
  172    -1.17    0.174      249   1.2e+05  0.00402     0.01       449 sensor_telescope4_phys StepLimiter
  173    -1.17    0.174      249   1.2e+05    0.003     0.01       449 sensor_telescope4_phys StepLimiter
  174    -1.17    0.174      249   1.2e+05  0.00292     0.01       449 sensor_telescope4_phys StepLimiter
  175    -1.17    0.174      249   1.2e+05  0.00134     0.01       449 sensor_telescope4_phys StepLimiter
  176    -1.17    0.174      249   1.2e+05    0.021     0.01       449 sensor_telescope4_phys StepLimiter
  177    -1.17    0.174      249   1.2e+05 0.000439  0.00694       449 bumps_wrapper_telescope4_phys Transportation
  178    -1.17    0.174      249   1.2e+05 1.16e-06  0.00596       449 bumps_telescope4_phys Transportation
  179    -1.17    0.174      249   1.2e+05  0.00537  0.00815       449 bumps_wrapper_telescope4_phys Transportation
  180    -1.17    0.174      249   1.2e+05 1.24e-06  0.00635       449 chip_telescope4_phys Transportation
  181    -1.17    0.174      250   1.2e+05    0.241    0.716       450 support_telescope4_phys_0 Transportation
  182    -1.17    0.174      250   1.2e+05    0.156    0.721       450 support_telescope4_phys_0 hIoni
    :----- List of 2ndaries - #SpawnInStep=  1(Rest= 0,Along= 0,Post= 1), #SpawnTotal=  6 ---------------
    :     -1.17     0.174       250    0.0422                 e-
    :----------------------------------------------------------------- EndOf2ndaries Info ---------------
  183    -1.17    0.174      251   1.2e+05    0.173    0.752       451 support_telescope4_phys_0 hIoni
    :----- List of 2ndaries - #SpawnInStep=  1(Rest= 0,Along= 0,Post= 1), #SpawnTotal=  7 ---------------
    :     -1.17     0.174       251    0.0394                 e-
    :----------------------------------------------------------------- EndOf2ndaries Info ---------------
  184    -1.17    0.174      251   1.2e+05   0.0807    0.328       451       World Transportation
  185    -1.17    0.172      299   1.2e+05  0.00837     47.7       499 sensor_telescope5_phys Transportation
  186    -1.17    0.172      299   1.2e+05  0.00274     0.01       499 sensor_telescope5_phys StepLimiter
  187    -1.17    0.172      299   1.2e+05  0.00255     0.01       499 sensor_telescope5_phys StepLimiter
  188    -1.17    0.172      299   1.2e+05  0.00257     0.01       499 sensor_telescope5_phys StepLimiter
  189    -1.17    0.172      299   1.2e+05   0.0016     0.01       499 sensor_telescope5_phys StepLimiter
  190    -1.17    0.172      299   1.2e+05  0.00793     0.01       499 sensor_telescope5_phys StepLimiter
  191    -1.17    0.172      299   1.2e+05  0.00239     0.01       499 sensor_telescope5_phys StepLimiter
  192    -1.17    0.172      299   1.2e+05  0.00138     0.01       499 sensor_telescope5_phys StepLimiter
  193    -1.17    0.172      299   1.2e+05  0.00213     0.01       499 sensor_telescope5_phys StepLimiter
  194    -1.17    0.172      299   1.2e+05  0.00284     0.01       499 sensor_telescope5_phys StepLimiter
  195    -1.17    0.172      299   1.2e+05  0.00284     0.01       499 sensor_telescope5_phys StepLimiter
  196    -1.17    0.172      299   1.2e+05  0.00245     0.01       499 sensor_telescope5_phys StepLimiter
  197    -1.17    0.172      299   1.2e+05  0.00304     0.01       499 sensor_telescope5_phys StepLimiter
  198    -1.17    0.172      299   1.2e+05  0.00219     0.01       499 sensor_telescope5_phys StepLimiter
  199    -1.17    0.172      299   1.2e+05  0.00239     0.01       499 sensor_telescope5_phys StepLimiter
  200    -1.17    0.172      299   1.2e+05  0.00382     0.01       499 sensor_telescope5_phys StepLimiter
  201    -1.17    0.172      299   1.2e+05    0.001     0.01       499 sensor_telescope5_phys StepLimiter
  202    -1.17    0.172      299   1.2e+05  0.00252     0.01       499 sensor_telescope5_phys StepLimiter
  203    -1.17    0.172      299   1.2e+05 0.000542     0.01       499 sensor_telescope5_phys StepLimiter
  204    -1.17    0.172      299   1.2e+05  0.00105     0.01       499 sensor_telescope5_phys StepLimiter
  205    -1.17    0.172      299   1.2e+05  0.00146     0.01       499 sensor_telescope5_phys StepLimiter
  206    -1.17    0.172      299   1.2e+05  0.00224     0.01       499 sensor_telescope5_phys StepLimiter
  207    -1.17    0.172      299   1.2e+05  0.00263     0.01       499 sensor_telescope5_phys StepLimiter
  208    -1.17    0.172      299   1.2e+05  0.00114     0.01       499 sensor_telescope5_phys StepLimiter
  209    -1.17    0.172      299   1.2e+05  0.00488     0.01       499 sensor_telescope5_phys StepLimiter
  210    -1.17    0.172      299   1.2e+05  0.00343     0.01       499 sensor_telescope5_phys StepLimiter
  211    -1.17    0.172      299   1.2e+05  0.00188     0.01       499 sensor_telescope5_phys StepLimiter
  212    -1.17    0.172      299   1.2e+05  0.00318     0.01       499 sensor_telescope5_phys StepLimiter
  213    -1.17    0.172      299   1.2e+05  0.00211     0.01       499 sensor_telescope5_phys StepLimiter
  214    -1.17    0.172      299   1.2e+05  0.00232     0.01       499 sensor_telescope5_phys StepLimiter
  215    -1.17    0.172      299   1.2e+05  0.00314     0.01       499 sensor_telescope5_phys StepLimiter
  216    -1.17    0.172      299   1.2e+05  0.00123     0.01       499 sensor_telescope5_phys StepLimiter
  217    -1.17    0.172      299   1.2e+05        0 7.47e-05       499 bumps_wrapper_telescope5_phys Transportation
  218    -1.17    0.172      299   1.2e+05 4.04e-06   0.0207       499 chip_telescope5_phys Transportation
  219    -1.17    0.172      300   1.2e+05    0.238    0.724       500 support_telescope5_phys_0 Transportation
  220    -1.17    0.172      302   1.2e+05    0.453     1.82       502       World Transportation
  221    -1.17    0.171      349   1.2e+05  0.00987     46.6       549  OutOfWorld Transportation

